iter	Passed	Remaining
0	56	56673
1	56	28413
2	57	19011
3	57	14293
4	57	11462
5	57	9574
6	58	8227
7	58	7217
8	58	6430
9	58	5800
10	58	5286
11	58	4856
12	59	4491
13	59	4179
14	59	3911
15	59	3674
16	59	3465
17	60	3281
18	60	3119
19	60	2970
20	60	2838
21	61	2717
22	61	2605
23	61	2503
24	61	2408
25	61	2321
26	62	2240
27	62	2164
28	62	2094
29	62	2028
30	62	1966
31	63	1909
32	63	1854
33	63	1803
34	63	1755
35	63	1709
36	64	1666
37	64	1626
38	64	1587
39	64	1551
40	64	1516
41	65	1483
42	65	1451
43	65	1420
44	65	1391
45	65	1363
46	65	1337
47	66	1311
48	66	1286
49	66	1263
50	66	1241
51	66	1219
52	67	1198
53	67	1179
54	67	1159
55	67	1141
56	67	1124
57	68	1107
58	68	1090
59	68	1074
60	68	1058
61	69	1045
62	69	1031
63	69	1017
64	69	1003
65	69	990
66	70	977
67	70	964
68	70	952
69	70	940
70	70	928
71	71	917
72	71	906
73	71	895
74	71	885
75	71	874
76	72	865
77	72	855
78	72	846
79	72	836
80	72	828
81	73	819
82	73	809
83	73	800
84	73	792
85	73	784
86	74	776
87	74	769
88	74	761
89	74	754
90	74	747
91	74	740
92	75	733
93	75	726
94	75	719
95	75	713
96	76	707
97	76	701
98	76	695
99	77	697
100	77	693
101	78	689
102	78	684
103	79	681
104	79	677
105	79	672
106	79	667
107	80	662
108	80	657
109	80	652
110	80	647
111	81	643
112	81	639
113	81	635
114	82	631
115	82	627
116	82	623
117	82	619
118	83	615
119	83	612
120	83	610
121	84	606
122	84	601
123	84	597
124	84	594
125	85	591
126	85	587
127	85	585
128	86	582
129	87	584
130	87	581
131	87	578
132	88	575
133	89	581
134	90	578
135	90	576
136	91	575
137	91	574
138	92	571
139	93	577
140	94	574
141	94	570
142	94	567
143	95	567
144	95	565
145	96	562
146	96	559
147	96	557
148	97	554
149	97	551
150	97	548
151	97	545
152	97	542
153	98	539
154	98	536
155	98	533
156	98	531
157	99	528
158	99	526
159	99	523
160	99	520
161	100	518
162	100	515
163	100	513
164	101	511
165	101	509
166	101	507
167	101	504
168	102	502
169	102	500
170	102	497
171	102	495
172	103	493
173	103	491
174	103	489
175	103	486
176	104	484
177	104	482
178	104	480
179	104	478
180	105	476
181	105	473
182	105	471
183	105	469
184	106	467
185	106	464
186	106	462
187	106	460
188	106	458
189	107	456
190	107	454
191	107	452
192	107	450
193	107	448
194	108	446
195	108	444
196	108	442
197	108	440
198	108	438
199	109	436
200	109	434
201	109	432
202	109	430
203	109	428
204	110	427
205	110	425
206	110	423
207	110	421
208	110	419
209	111	418
210	111	416
211	111	414
212	111	412
213	111	411
214	112	409
215	112	407
216	112	405
217	112	404
218	112	402
219	113	400
220	113	399
221	113	397
222	113	396
223	113	394
224	114	392
225	114	391
226	114	389
227	114	388
228	115	387
229	115	385
230	115	384
231	115	382
232	115	381
233	115	379
234	116	378
235	116	376
236	116	375
237	116	373
238	116	372
239	117	370
240	117	369
241	117	368
242	117	366
243	117	365
244	118	364
245	118	362
246	118	361
247	118	360
248	118	358
249	119	357
250	119	356
251	119	354
252	119	353
253	119	352
254	120	350
255	120	349
256	120	348
257	120	347
258	120	345
259	121	344
260	121	343
261	121	342
262	121	340
263	121	339
264	122	338
265	122	337
266	122	336
267	122	334
268	122	333
269	123	332
270	123	331
271	123	330
272	123	329
273	123	328
274	124	327
275	124	325
276	124	324
277	124	323
278	124	322
279	125	321
280	125	320
281	125	319
282	125	318
283	125	317
284	126	316
285	126	315
286	126	314
287	126	313
288	126	312
289	127	311
290	127	310
291	127	309
292	127	308
293	127	307
294	128	306
295	128	305
296	128	304
297	128	303
298	128	302
299	129	301
300	129	300
301	129	299
302	129	298
303	130	297
304	130	296
305	130	295
306	130	294
307	130	293
308	131	293
309	131	292
310	131	291
311	131	290
312	131	289
313	131	288
314	132	287
315	132	286
316	132	285
317	132	284
318	133	283
319	133	283
320	133	282
321	133	281
322	133	280
323	134	279
324	134	278
325	134	277
326	134	277
327	134	276
328	135	275
329	135	274
330	135	274
331	135	273
332	135	272
333	136	271
334	136	270
335	136	269
336	136	269
337	136	268
338	137	267
339	137	266
340	137	265
341	137	265
342	137	264
343	138	263
344	138	262
345	138	261
346	138	261
347	138	260
348	139	259
349	139	258
350	139	258
351	139	257
352	140	256
353	140	255
354	140	255
355	140	254
356	140	253
357	141	252
358	141	252
359	141	251
360	141	250
361	141	249
362	141	249
363	142	248
364	142	247
365	142	247
366	142	246
367	143	245
368	143	244
369	143	244
370	143	243
371	143	242
372	144	242
373	144	241
374	144	240
375	144	240
376	144	239
377	145	238
378	145	238
379	145	237
380	145	236
381	145	236
382	146	235
383	146	234
384	146	234
385	146	233
386	147	232
387	147	232
388	147	231
389	147	231
390	148	230
391	148	230
392	148	229
393	148	228
394	148	228
395	149	227
396	149	226
397	149	226
398	149	225
399	149	224
400	150	224
401	150	223
402	150	222
403	150	222
404	150	221
405	151	220
406	151	220
407	151	219
408	151	219
409	151	218
410	151	217
411	152	217
412	152	216
413	152	215
414	152	215
415	152	214
416	153	214
417	153	213
418	153	212
419	153	212
420	153	211
421	154	211
422	154	210
423	154	210
424	154	209
425	155	209
426	155	208
427	155	208
428	155	207
429	156	206
430	156	206
431	156	205
432	156	205
433	156	204
434	156	203
435	157	203
436	157	202
437	157	202
438	157	201
439	157	201
440	158	200
441	158	199
442	158	199
443	158	198
444	158	198
445	159	197
446	159	197
447	159	196
448	159	196
449	159	195
450	160	194
451	160	194
452	160	193
453	160	193
454	160	192
455	161	192
456	161	191
457	161	191
458	161	190
459	161	190
460	162	189
461	162	189
462	162	188
463	162	187
464	162	187
465	163	186
466	163	186
467	163	185
468	163	185
469	163	184
470	164	184
471	164	183
472	164	183
473	164	182
474	164	182
475	165	181
476	165	181
477	165	180
478	165	180
479	165	179
480	166	179
481	166	178
482	166	178
483	166	177
484	166	177
485	167	176
486	167	176
487	167	175
488	167	175
489	167	174
490	168	174
491	168	173
492	168	173
